iShares Russell 1000 ETF
Fund Holdings as of,"Nov 07, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"DIS","WALT DISNEY","Communication","Equity","142,971,984.40","0.32","142,971,984.40","1,291,060.00","110.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","142,517,760.00","0.32","142,517,760.00","254,496.00","560.00","United States","NASDAQ","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","140,893,137.03","0.32","140,893,137.03","335,053.00","420.51","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","139,654,144.80","0.32","139,654,144.80","976,944.00","142.95","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","133,306,652.16","0.30","133,306,652.16","821,056.00","162.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","132,058,360.27","0.30","132,058,360.27","1,435,573.00","91.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","131,604,781.46","0.30","131,604,781.46","770,114.00","170.89","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","131,543,212.71","0.30","131,543,212.71","571,753.00","230.07","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","131,183,325.29","0.30","131,183,325.29","1,301,551.00","100.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","127,019,814.99","0.29","127,019,814.99","147,377.00","861.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","126,530,940.80","0.29","126,530,940.80","195,008.00","648.85","United States","NASDAQ","USD","1.00","USD","-"
